Situación,Latitud,Longitud
Jardín de la Vega,40.535814,-3.634709
Parque de las Víctimas del Terrorismo,40.536797,-3.638375
Parque de la Comunidad de Madrid,40.545278,-3.637906
Parque de Navarra,40.545165,-3.645109
Parque de Andalucía,40.539053,-3.644263
Parque de Castilla-La Mancha,40.541787,-3.648285
Parque de Galicia (Calle José Echagaray),40.542311,-3.656463
Parque de Galicia (Av. Camilo José Cela),40.543113,-3.659354
Zona verde Valdelasfuentes (Calle Carlos Muñoz Ruiz),40.553095,-3.652719
Zona verde Fuentelucha (Calle Marqués de la Valdavia con Avda. Pablo Iglesias),40.548295,-3.658762
Zona verde Avda. Pablo Iglesias - Fuentelucha,40.557103,-3.656064
Zona verde El Juncal (Avenida Rafael Nadal),40.538282,-3.621219
Parque Extremadura (Junto a pistas Ciudad Deportiva Valdelasfuentes),40.554206,-3.643993
Calle Fuego (Esquina con Avenida de España),40.547543,-3.636703
Parque de Cataluña (entrada por Marqués de la Valdavia),40.541408,-3.637718
